"PLAN","Levy","Application ID","Decision","Application Description","Short Description","locality","AssessedBy","DeterminedBy","ApprovalDate","ApprovalYear","Property_No","Purpose","BALANCE","LEVIED","PAID"
"S94-01","S94-01 - Structured Open Space","0176/2001DA","Approved","two (2) lot residential subdivision","two (2) lot residential subdivision","TWEED HEADS SOUTH","DevUnit",,,2001,"3428","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","0185/2001DA","Approved","establishment of a three (3) lot residential subdivision","establishment of a three (3) lot residential subdivision","BANORA POINT","DevUnit",,,2001,"4267","Open Space","0","4814","4814"
"S94-01","S94-01 - Structured Open Space","0570/2000DA","Approved","10 lot community title subdivision to be developed in nine stages","10 lot community title subdivision to be developed in nine s","BANORA POINT","DevUnit",,,2000,"1699","Open Space","0","19007","2407"
"S94-01","S94-01 - Structured Open Space","0969/2001DA","Approved","the erection of a multi-dwelling housing development comprising 33 x 1 bedroom units","the erection of a multi-dwelling housing development compris","BANORA POINT","DevUnit",,,2001,"4411","Open Space","0","29216","29216"
"S94-01","S94-01 - Structured Open Space","1288/2000DA","Approved","an urban subdivision (3 allotments)","an urban subdivision (3 allotments)","BANORA POINT","DevUnit",,,2001,"3400","Open Space","0","2118","2118"
"S94-01","S94-01 - Structured Open Space","1349/2001DA","Approved","the erection of a multi-dwelling housing development comprising 64 dwellings, swimming pool, gazebo and ancillary facilities","the erection of a multi-dwelling housing development compris","TWEED HEADS SOUTH","DevUnit",,,2002,"4241","Open Space","0","112050","112050"
"S94-01","S94-01 - Structured Open Space","1372/2001DA","Approved","the erection of a detached dual occupancy","the erection of a detached dual occupancy","BANORA POINT","DevUnit",,,2002,"4411","Open Space","0","1245","1245"
"S94-01","S94-01 - Structured Open Space","D94/0379","Approved","construction of 11 x 3 bedroom flats and 26 x 3 bedroom cluster houses","construction of 11 x 3 bedroom flats and 26 x 3 bedroom clus","BANORA POINT","DevUnit",,,1995,"4941","Open Space","0","29253","9628"
"S94-01","S94-01 - Structured Open Space","DA02/0469","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2002,"4318","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0470","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5117","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0546","Approved","erection of a detached dual occupancy","erection of a detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5118","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0702","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5281","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0707","Approved","attached dual occupancy","attached dual occupancy","BANORA POINT","DevUnit",,,2002,"5315","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0710","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5282","Open Space","0","0","2407"
"S94-01","S94-01 - Structured Open Space","DA02/0745","Approved","erection of a detached dual occupancy","erection of a detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5307","Open Space","0","2407","2407"
