site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 355,NORTH ARM ROAD west of WOLLUMBIN HIGH SCHOOL,"-28.333951, 153.358842",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 355,North Arm,RD.883.40.A,North Arm Road,Murwillumbah
Site 356,NORTH'S LANE at No 18,"-28.322997, 153.465049",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 356,Eviron,RD.887.10.A,Norths Lane,Nunderi
Site 357,NUDGEE STREET off LEISURE DRIVE,"-28.211859, 153.531854",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 357,Banora Point,RD.1890.10.A,Nudgee Street,Banora Point
Site 358,NORMAN STREET off KENNEDY DRIVE,"-28.185675, 153.531154",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 358,Tweed Heads,RD.882.10.A,Norman Street,Tweed Heads
Site 359,NULLUM STREET north of PRINCE STREET,"-28.328919, 153.393215",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 359,Murwillumbah,RD.888.20.A,Nullum Street,Murwillumbah
Site 170,FRASER DRIVE south of DRY DOCK ROAD,"-28.194527, 153.522649",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 170,Tweed Heads,RD.518.120.A.1,Fraser Drive,Tweed Heads South
Site 361,OLD FERRY ROAD off TERRANORA ROAD,"-28.228622, 153.54327",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 361,Banora Point,RD.913.10.A,Old Ferry Road,Banora Point
Site 362,OLD LISMORE ROAD off NORTH ARM ROAD,"-28.338307, 153.363876",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 362,Murwillumbah,RD.914.20.A,Old Lismore Road,Murwillumbah
Site 363,OLD LISMORE ROAD off TYALGUM ROAD,"-28.345517, 153.357687",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 363,Byangum,RD.914.60.A,Old Lismore Road,Murwillumbah
Site 364,OPHIR GLEN ROAD off UPPER BURRINGBAR RD,"-28.446078, 153.436878",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 364,Ophir Glen,RD.923.10.A,Ophir Glen Road,Upper Burringbar
Site 365,OURIMBAH ROAD off DUCAT STREET,"-28.176667, 153.528827",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 365,Tweed Heads,RD.931.10.A,Ourimbah Road,Tweed Heads
Site 367,OVERALL DRIVE at No 62,"-28.397363, 153.564157",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 367,Pottsville,RD.932.20.A,Overall Drive,Pottsville
Site 368,KELLEHERS ROAD west of BLACK ROCKS BRIDGE,"-28.411551, 153.561138",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 368,Pottsville,RD.671.30.A,Kellehers Road,Pottsville
Site 369,OXLEY STREET at No 11,"-28.193507, 153.538966",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 369,Tweed Heads,RD.936.40.A,Oxley Street,Tweed Heads South
Site 180,GLEN AYRE DRIVE at No 80,"-28.224765, 153.532672",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 180,Banora Point,RD.533.30.A,Glen Ayr Drive,Banora Point
Site 371,OZONE STREET at No 5,"-28.245775, 153.567292",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 371,Kingscliff,RD.938.20.A,Ozone Street,Kingscliff
Site 372,PACIFIC DRIVE at No 4A,"-28.223139, 153.546545",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 372,Banora Point,RD.940.10.A,Pacific Drive,Banora Point
Site 373,PARKES LANE at No 42,"-28.231826, 153.520191",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 373,Banora Point,RD.998.30.A,Parkes Lane,Terranora
Site 374,PEARL STREET south of TURNOCK STREET,"-28.255391, 153.575223",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 374,Kingscliff,RD.1004.10.A.1,Pearl Street,Kingscliff
Site 375,PEARL STREET north of TURNOCK STREET,"-28.254853, 153.574568",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 375,Kingscliff,RD.1004.30.A,Pearl Street,Kingscliff
Site 376,PEARL STREET T/HDS north of FLORENCE STREET,"-28.175012, 153.538721",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 376,Tweed Heads,RD.1005.10.A,Pearl Street,Tweed Heads
Site 377,PENINSULA STREET off M.R.450,"-28.356848, 153.573657",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 377,Hastings Point,RD.1013.10.A,Peninsula Street,Hastings Point
Site 378,PHILLIP STREET CHINDERH at No 87,"-28.235363, 153.559643",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 378,Chinderah,RD.1027.30.A,Phillip Street,Chinderah
Site 379,PHILP PARADE at No14,"-28.193544, 153.520077",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 379,Tweed Heads,RD.1030.10.A,Philp Parade,Tweed Heads South
Site 190,HASTINGS ROAD at No 100,"-28.331263, 153.568204",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 190,Bogangar,RD.582.50.A,Hastings Road,Bogangar
Site 381,PIGGABEEN RD west of COBAKI ROAD,"-28.190997, 153.4809",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 381,Cobaki Lakes,RD.1032.70.A,Piggabeen Road,Cobaki Lakes
Site 382,PIGGABEEN RD east of COBAKI ROAD,"-28.191542, 153.482543",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 382,Tweed Heads West,RD.1032.55.A,Piggabeen Road,Tweed Heads West
Site 383,PIGGABEEN RD at No 72,"-28.189793, 153.499692",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 383,Tweed Heads West,RD.1032.20.A.1,Piggabeen Road,Tweed Heads West
Site 384,PIGGABEEN RD at No 5,"-28.189763, 153.505194",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 384,Tweed Heads West,RD.1032.20.A.1,Piggabeen Road,Tweed Heads West
Site 385,PIGGABEEN RD west of GOLLAN DRIVE,"-28.189857, 153.506641",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 385,Tweed Heads West,RD.1032.15.A,Piggabeen Road,Tweed Heads West
Site 386,PIONEER PARADE at No 80,"-28.220084, 153.545367",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 386,Banora Point,RD.1044.50.A,Pioneer Parade,Banora Point
Site 387,POTTSVILLE ROAD south of CUDGERA CREEK ROAD,"-28.389866, 153.543121",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 387,Cudgera Creek,RD.1058.160.A,Pottsville Road,Cudgera Creek
Site 388,POTTSVILLE ROAD at No 79,"-28.435698, 153.494777",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 388,Sleepy Hollow,RD.1058.20.A,Pottsville Road,Mooball
Site 389,POTTSVILLE ROAD north of KIELY'S ROAD,"-28.438056, 153.491531",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 389,Sleepy Hollow,RD.1058.20.A,Pottsville Road,Mooball
Site 200,HOGANS ROAD north of MAJESTIC COURT,"-28.236412, 153.448762",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 200,North Tumbulgum,RD.605.60.A,Hogans Road,Upper Duroby
Site 391,POWELL STREET sorth of FLORENCE STREET,"-28.176525, 153.544331",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 391,Tweed Heads,RD.1062.20.A,Powell Street,Tweed Heads
Site 392,PRINCE STREET west EYLES AVENUE,"-28.329153, 153.390288",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 392,Murwillumbah,RD.1065.40.A,Prince Street,Murwillumbah
Site 393,PROUDFOOTS LANE west of KFC,"-28.327139, 153.396809",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 393,Murwillumbah,RD.1978.20.A,Proudfoots Lane,Murwillumbah
Site 394,PUMPENBILL ROAD off BRAYS CREEK ROAD,"-28.370303, 153.192857",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 394,Pumpenbil,RD.2249.10.A.1,Pumpenbil Road,Pumpenbil
Site 395,PUMPENBILL SOUTH SECOND TIMBER BRIDGE,"-28.377833, 153.148728",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 395,Pumpenbill,RD.1227.30.A,South Pumpenbil Road,Pumpenbil
Site 396,QUARRY ROAD at No 12,"-28.325507, 153.414451",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 396,South Murwillumbah,RD.1072.20.A,Quarry Road,South Murwillumbah
Site 397,QUARRY ROAD on CONCRETE BRIDGE,"-28.328555, 153.415494",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 397,South Murwillumbah,RD.1072.30.A,Quarry Road,South Murwillumbah
Site 398,QUEEN STREET FINGAL south of KING STREET,"-28.199389, 153.566731",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 398,Fingal,RD.1075.20.A,Queen Street,Fingal Head
Site 399,QUEEN STREET MURWILLUMBAH at No 23,"-28.326084, 153.39956",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 399,Murwillumbah,RD.1074.20.A,Queen Street,Murwillumbah
Site 401,RACECOURSE RD at No 154,"-28.310408, 153.410517",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 401,Tygalgah,RD.1081.20.A,Racecourse Road,Tygalgah
Site 210,JAMES STREET near No 54,"-28.333129, 153.391833",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 210,Murwillumbah,RD.648.20.A,James Street,Murwillumbah
Site 402,RECREATION STREET at No 6,"-28.175905, 153.538878",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 402,Tweed Heads,RD.1097.10.A,Recreation Street,Tweed Heads
Site 403,RESERVE CREEK ROAD east of QUARRY ROAD,"-28.328327, 153.416033",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 403,Reserve Creek,RD.1102.280.A,Reserve Creek Road,South Murwillumbah
Site 404,RESERVE CREEK ROAD at No 22,"-28.333976, 153.434031",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 404,Reserve Creek,RD.1102.250.A,Reserve Creek Road,Kielvale
Site 405,RESERVE CREEK ROAD at No 409,"-28.338237, 153.447863",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 405,Reserve Creek,RD.1102.230.A,Reserve Creek Road,Kielvale
Site 406,RESERVE CREEK ROAD at No 1204,"-28.350931, 153.49669",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 406,Reserve Creek,RD.1102.100.A,Reserve Creek Road,Reserve Creek
Site 407,RESERVE CREEK ROAD at No 1860,"-28.388968, 153.518741",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 407,Cudgera Creek,RD.1102.10.A,Reserve Creek Road,Cudgera Creek
Site 408,RIVER STREET at No 107,"-28.336329, 153.39968",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 408,South Murwillumbah,RD.1118.40.A,River Street,South Murwillumbah
Site 409,RIVER OAK DRIVE off KYOGLE ROAD M.R.142,"-28.342348, 153.371665",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 409,Murwillumbah,RD.1122.10.A,Riveroak Drive,Murwillumbah
Site 411,RIVERSIDE DRIVE at No162,"-28.277011, 153.46076",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 411,Tumbulgum,RD.1124.30.A.1,Riverside Drive,Tumbulgum
Site 220,Kennedy Drive east of Barrett Street,"-28.186553, 153.523629",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 220,Tweed Heads,RD.675.90.A.1,Kennedy Drive,Tweed Heads
Site 413,RIVERSIDE DRIVE at No 46,"-28.271567, 153.463592",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 413,Tumbulgum,RD.1124.50.A.1,Riverside Drive,Tumbulgum
Site 414,RIVERSIDE DRIVE off TWEED VALLEY WAY northern end,"-28.27206, 153.467377",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 414,Tumbulgum,RD.1124.70.A.1,Riverside Drive,Tumbulgum
Site 415,ROB ROY CRESCENT at No 2,"-28.258885, 153.577342",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 415,Kingscliff,RD.1128.10.A,Rob Roy Crescent,Kingscliff
Site 416,ROSEWOOD AVENUE off TWEED COAST ROAD,"-28.330469, 153.568149",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 416,Bogangar,RD.1140.10.A,Rosewood Avenue,Bogangar
Site 417,ROSE STREET off KENNEDY DRIVE,"-28.186575, 153.522641",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 417,Tweed Heads,RD.1136.10.A,Rose Street,Tweed Heads West
Site 418,ROUND MOUNTAIN ROAD off TWEED COAST ROAD,"-28.349664, 153.569271",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 418,Bogangar,RD.1145.10.A,Round Mountain Road,Round Mountain
Site 419,ROUND MOUNTAIN ROAD JET BOAT race day Special,"-28.36315, 153.543222",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 419,Bogangar,RD.1145.50.A,Round Mountain Road,Round Mountain
Site 421B,ROUND MOUNTAIN ROAD east of WATY BISHOP ROAD,"-28.349982, 153.526031",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 421B,Bogangar,RD.1145.80.A,Round Mountain Road,Round Mountain
Site 422,ROWLANDS CREEK ROAD at No 25,"-28.415746, 153.336165",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 422,Uki,RD.1148.20.A,Rowlands Creek Road,Uki
Site 230,KIRKWOOD ROAD at No 52,"-28.198629, 153.54483",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 230,Tweed Heads,RD.701.20.B,Kirkwood Road,Tweed Heads South
Site 423,RUSSELL WAY at No 12,"-28.209453, 153.526268",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 423,Tweed Heads South,RD.1151.20.A,Russell Way,Banora Point
Site 424,S.H.10 off ramp southbound (sexton hill),"-28.22139, 153.552712",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 424,Banora Point,RD.2366.130.C,Sexton Hill Drive,Banora Point
Site 425,S.H.10 on ramp southbound (sexton hill),"-28.222506, 153.553675",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 425,Banora Point,RD.2631.10.A,Barneys Point Road,Banora Point
Site 426,S.H.10 off ramp northbound  (sexton hill),"-28.222782, 153.55227",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 426,Banora Point,RD.2366.30.B,Sexton Hill Drive,Banora Point
Site 427,S.H.10 on ramp northbound (sexton hill),"-28.222286, 153.552125",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 427,Banora Point,RD.2366.30.B,Sexton Hill Drive,Banora Point
Site 428,S.H.10 at BORDER CROSSING,"-28.198927, 153.531158",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 428,Tweed Heads,RD.701.40.R,Kirkwood Road,Tweed Heads South
Site 429,S.H.10 south of CHINDERAH ROAD,"-28.245547, 153.545782",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 429,Chinderah,RD.259.60.A,Chinderah Bay Drive,Chinderah
Site 431,SAND STREET at No 48,"-28.243597, 153.56355",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 431,Kingscliff,RD.1157.20.A,Sand Street,Kingscliff
Site 432,SANDALWOOD DRIVE off TWEED COAST ROAD,"-28.341172, 153.570777",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 432,Bogangar,RD.1159.10.A,Sandalwood Drive,Bogangar
Site 240,LETITIA ROAD at SCHOOL FRONTAGE,"-28.196839,153.565668",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 240,Fingal,RD.735.10.A,Letitia Road,Fingal Head
Site 433,SANDALWOOD DRIVE at No 10,"-28.340258, 153.567109",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 433,Bogangar,RD.1159.30.A,Sandalwood Drive,Bogangar
Site 434,SCENIC DRIVE west of GULL PLACE,"-28.195705, 153.504651",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 434,Tweed Heads West,RD.1173.20.A,Scenic Drive,Tweed Heads West
Site 242A,LIGHTHOUSE PARADE at SHEOAK SHAK RESTURANT,"-28.201962,153.564299",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 242A,Fingal,RD.493.70.A,Fingal Road,Fingal Head
Site 435,SCENIC DRIVE north of SIMPSON DRIVE,"-28.212011, 153.483807",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 435,Bilambil Heights,RD.1173.60.A,Scenic Drive,Bilambil Heights
Site 436,SEAVIEW STREET at No 3,"-28.258305, 153.577838",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 436,Kingscliff,RD.1179.20.A,Seaview Street,Kingscliff
Site 437,SHALLOW BAY DRIVE west of TRITON STREET,"-28.206017, 153.546019",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 437,Tweed Heads,RD.1190.20.A,Shallow Bay Drive,Tweed Heads South
Site 438,SHALLOW BAY DRIVE at No 28,"-28.20629, 153.547936",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 438,Tweed Heads,RD.1190.20.A,Shallow Bay Drive,Tweed Heads South
Site 439,SLEEPY HOLLOW ROAD off POTTSVILLE ROAD,"-28.418831, 153.522705",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 439,Sleepy Hollow,RD.1213.10.A,Sleepy Hollow Road,Sleepy Hollow
Site 441,SMITHS CREEK RD at No 888,"-28.408333, 153.403155",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 441,Stokers Siding,RD.1216.20.A,Smiths Creek Road,Stokers Siding
Site 442,SMITHS CK RD at No 4,"-28.411854, 153.340237",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 442,Uki,RD.1216.150.A,Smiths Creek Road,Uki
Site 443,SIMPSON DRIVE at No 73,"-28.215816, 153.485016",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 443,Bilambil Heights,RD.1207.10.A.1,Simpson Drive,Bilambil Heights
Site 444,SIMPSON  DRIVE at No 11,"-28.21246, 153.484441",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 444,Bilambil Heights,RD.1207.30.A,Simpson Drive,Bilambil Heights
Site 250,LLOYD STREET at No 35,"-28.191336, 153.537967",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 250,Tweed Heads,RD.746.10.A,Lloyd Street,Tweed Heads South
Site 445,SIMPSON DRIVE at No 83,"-28.21554, 153.483792",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 445,Bilambil Heights,RD.1207.10.A.1,Simpson Drive,Bilambil Heights
Site 446,SOORLEY STREET at No 6,"-28.204242, 153.545287",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 446,Tweed Heads,RD.1225.10.A,Soorley Street,Tweed Heads South
Site 447,SOORLEY STREET at No 20,"-28.204678, 153.546919",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 447,Tweed Heads,RD.1225.10.A,Soorley Street,Tweed Heads South
Site 448,SPRING STREET south of BYANGUM ROAD,"-28.330505, 153.387691",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 448,Murwillumbah,RD.1229.10.A,Spring Street,Murwillumbah
Site 449,STRADBROKE DRIVE at No 14,"-28.20906, 153.525145",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 449,Tweed Heads South,RD.1246.10.A,Stradbroke Drive,Banora Point
Site 451,STOKERS ROAD south of SCHOOL,"-28.395368, 153.404086",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 451,Dunbible,RD.1242.70.A,Stokers Road,Stokers Siding
Site 452,STOKERS ROAD at No 22,"-28.396214, 153.422872",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 452,Stokers Siding,RD.1242.10.A,Stokers Road,Stokers Siding
Site 453,STOKERS ROAD off MISTRAL ROAD (off Bakers Road),"-28.351333, 153.392736",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 453,Dunbible,RD.1242.220.A,Stokers Road,Dunbible
Site 454,STOTTS STREET at No15,"-28.193486, 153.494238",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 454,Tweed Heads West,RD.1245.10.A,Stott Street,Tweed Heads West
